ὁ	ὁ, ἡ, τό	the 
κομψότερον	κομψότερον	better
κοπετός	κοπετός, -ου, ὁ	mourning, lamentation
κοπή	κοπή, -ῆς, ἡ	a miting, slaughter
κοπρία	κοπρία, -ας, ἡ	a manure pile
κόπριον	κόπριον, -ου, τό	dung, manure , filth, dirt
κόραξ	κόραξ, -ακος, ὁ	crow, raven
κορβᾶν	Κορβᾶν	gift to God, corban
κορβανᾶς	κορβανᾶς, -ᾶ, ὁ	temple treasury
κόρε	Κόρε, ὁ	Korah
κόρος	κόρος, -ου, ὁ	measure
κοσμοκράτωρ	κοσμοκράτωρ, -ορος, ὁ	a world ruler
κούαρτος	Κούαρτος, -ου, ὁ	Quartus
κουμ	κουμ	stand up, arise
κουφίζω	κουφίζω	to make light, lighten
κραιπάλη	κραιπάλη, -ης, ἡ	drinking bout, drunken dissipation
κραταιός	κραταιός, -ά, -όν	powerful, mighty
κράτιστος	κράτιστος, -η, -ον	most noble, most excellent
κρήσκης	Κρήσκης, -εντος, ὁ	Crescens
κριθή	κριθή, -ῆς, ἡ	barley
κριτικός	κριτικός, -ή, -όν	able to judge, critical
κρύπτη	κρύπτη, -ης, ἡ	a dark and hidden place, a cellar, crypt
κρυσταλλίζω	κρυσταλλίζω	to shine like crystal, be as transparent as crystal
κρυφῇ	κρυφῇ	secretly
κτήτωρ	κτήτωρ, -ορος, ὁ	an owner
κτίστης	κτίστης, -ου, ὁ	the Creator
κυβεία	κυβεία, -ας, ἡ	craftiness, trickery
κυβέρνησις	κυβέρνησις, -εως, ἡ	an administration
κυκλεύω	κυκλεύω	to surround , go encirle
κυλισμός	κυλισμός, -οῦ, ὁ	a rolling, wallowing
κυλίω	κυλίομαι	to roll, roll about
κύμβαλον	κύμβαλον, -ου, τό	a cymbal
κύμινον	κύμινον, -ου, τό	cummin
κυρήνη	Κυρήνη, -ης, ἡ	Cyrene
κυρήνιος	Κυρήνιος, -ου, ὁ	Quirinius
κῶλον	κῶλον, -ου, τό	a dead body, corpse
κωμόπολις	κωμόπολις, -εως, ἡ	a market town, country town
κώνωψ	κώνωψ, -ωπος, ὁ	a gnat, mosquito
κώς	Κώς, -Κῶ	Cos
κωσάμ	Κωσάμ, ὁ	Cosam
λακάω	λακάω	to burst apart, burst open
λακτίζω	λακτίζω	to kick
λάμεχ	Λάμεχ, ὁ	Lamech
λαμπρότης	λαμπρότης, -ητος, ἡ	shining, brilliance
λαμπρῶς	λαμπρῶς	splendidly
λαξευτός	λαξευτός, -ή, -όν	hewn
λαοδικεύς	Λαοδικεύς, -έως, ὁ	a Laodicean
λάρυγξ	λάρυγξ, -γγος, ὁ	the throat
λασαία	Λασαία, -ας, ἡ	Lasea
λεῖμμα	λεῖμμα, -τος, τό	remnant
λεῖος	λεῖος, -α, -ον	smooth, level
λειτουργικός	λειτουργικός, -ή, -όν	engaged in special service, ministering
λεπίς	λεπίς, -ίδος, ἡ	a scale (of a fish)
λευιτικός	Λευιτικός, -ή, -όν	Levitical
λήθη	λήθη, -ης, ἡ	forgetfulness
λῆμψις	λῆμψις, -εως, ἡ	receiving
λῆρος	λῆρος, -ου, ὁ	idle talk, empty talk, nonsense
λιβερτῖνος	Λιβερτῖνος, -ου, ὁ	a freedman
λιβύη	Λιβύη, -ης, ἡ	Libya
λιθόστρωτος	λιθόστρωτος	a stone pavement, mosaic
λίνος	Λίνος, -ου, ὁ	Linus
λιπαρός	λιπαρός, -ά, -όν	bright, costly, rich, luxurious
λίψ	λίψ	the southwest
λόγιος	λόγιος, -α, -ον	eloquent, learned, cultured
λογομαχέω	λογομαχέω	to dispute about words
λογομαχία	λογομαχία, -ας, ἡ	a dispute about words
λόγχη	λόγχη, -ης, ἡ	a spear, lance
λυκαονία	Λυκαονία, -ας, ἡ	Lycaonia
λυκαονιστί	Λυκαονιστί	in (the) Lycaonian (language)
λυκία	Λυκία, -ας, ἡ	Lycia
λυμαίνω	λυμαίνομαι	to ravage, destroy
λυσανίας	Λυσανίας, -ου, ὁ	Lysanias
λύσις	λύσις, -εως, ἡ	a release, separation, loosing
λυσιτελέω	λυσιτελέω	to be better, more advantageous
λυτρωτής	λυτρωτής, -οῦ, ὁ	a redeemer, deliverer
λωΐς	Λωΐς, -ΐδος, ἡ	Lois
μάαθ	Μάαθ, ὁ	Maath
μαγαδάν	Μαγαδάν, ἡ	Magadan
μαγεία	μαγεία, -ας, ἡ	magic
μαγεύω	μαγεύω	to practice magic
μαγώγ	Μαγώγ, ὁ	Magog
μαδιάμ	Μαδιάμ, ὁ	Midian
μαθήτρια	μαθήτρια, -ας, ἡ	a female disciple, disciple
μαθουσαλά	Μαθουσαλά, ὁ	Methuselah
μάκελλον	μάκελλον, -ου, τό	a meat market, food market
μακροθύμως	μακροθύμως	patiently
μακροχρόνιος	μακροχρόνιος, -ον	long-lived
μαλελεήλ	Μαλελεήλ, ὁ	Maleleel
μάλχος	Μάλχος, -ου, ὁ	Malchus
μάμμη	μάμμη, -ης, ἡ	a grandmother
μαναήν	Μαναήν, ὁ	Manaen
μανία	μανία, -ας, ἡ	madness, frenzy
μαντεύομαι	μαντεύομαι	to prophesy, tell fortunes, predict
μαραίνω	μαραίνομαι	to die out, fade away
μαράνα	μαράνα	Maranatha, Lord, come!
μάρμαρος	μάρμαρος, -ου, ὁ	marble
μασάομαι	μασάομαι	to bite, gnaw, chew
μαστίζω	μαστίζω	to whip, scourge
ματαιολογία	ματαιολογία, -ας, ἡ	empty, idle, fruitless talk
ματαιολόγος	ματαιολόγος, -ου, ὁ	talking idly, and empty talker
ματαιόω	ματαιόομαι	to render futile or worthless
ματταθά	Ματταθά, ὁ	Mattatha
μεγαλεῖος	μεγαλεῖος	greatness, magnificense
μεγαλοπρεπής	μεγαλοπρεπής, -ές	magnificent, majestic
μεγάλως	μεγάλως	greatly
μέγεθος	μέγεθος, -ους, τό	size, greatness
μελεά	Μελεά, ὁ	Melea
μελίτη	Μελίτη, -ης, ἡ	Malta
μεμβράνα	μεμβράνα, -ης, ἡ	a parchment
μεμψίμοιρος	μεμψίμοιρος, -ον	dissatisfied, finding fault, discontented
μεννά	Μεννά, ὁ	Menna
μενοῦν	μενοῦν	rather, on the contrary
μεριστής	μεριστής, -οῦ, ὁ	a divider, arbitrator
μεσιτεύω	μεσιτεύω	to guarantee
μεσότοιχον	μεσότοιχον, -ου, τό	a middle wall, dividing wall
μεσόω	μεσόω	to be in the middle, in the midst
μεστόω	μεστόω	to fill
μεταβάλλω	μεταβάλλομαι	to change one's mind, to turn about
μετακινέω	μετακινέω	to shift, remove, move away
μετάλημψις	μετάλημψις, -εως, ἡ	sharing
μετατρέπω	μετατρέπω	to turn around
μετέπειτα	μετέπειτα	afterwards
μετεωρίζομαι	μετεωρίζομαι	to be anxious, worried
μετοχή	μετοχή, -ῆς, ἡ	a sharing, partnership
μετρητής	μετρητής, -οῦ, ὁ	a liquid measure
μετριοπαθέω	μετριοπαθέω	to moderate one's feelings, deal gently
μετρίως	μετρίως	moderately, somewhat
μηδέποτε	μηδέποτε	never
μηδέπω	μηδέπω	not yet
μῆδος	Μῆδος, -ου, ὁ	a Mede
μηθείς	μηδείς, -μηδεμία, -μηδέν	no one, nothing
μηκύνω	μηκύνω	to lengthen, grow
μηλωτή	μηλωτή, -ῆς, ἡ	a sheepskin
μηρός	μηρός, -οῦ, ὁ	the thigh
μητρολῴας	μητρολῴας, -ου, ὁ	one who murders his mother, a matricide
μίασμα	μίασμα, -τος, τό	a shameful deed, misdeed, crime
μιασμός	μιασμός, -οῦ, ὁ	defilement, corruption
μίγμα	μίγμα, -τος, τό	a mixture, compound
μίλιον	μίλιον, -ου, τό	a mile
μισθαποδότης	μισθαποδότης, -ου, ὁ	a rewarder
μίσθωμα	μίσθωμα, -τος, τό	what is rented, a rented house
μιτυλήνη	Μιτυλήνη, -ης, ἡ	Mitylene
μνάσων	Μνάσων, -ωνος, ὁ	Mnason
μνήμη	μνήμη, -ης, ἡ	a memory, remembrance
μογιλάλος	μογιλάλος, -ον	speaking with difficulty
μόγις	μόγις	hardly, scarcely, with difficulty
μολόχ	Μολόχ, ὁ	Moloch
μολυσμός	μολυσμός, -οῦ, ὁ	defilement
μομφή	μομφή, -ῆς, ἡ	blame, (cause for) complaint
μονόω	μονόομαι	to forsake, leave alone
μορφόω	μορφόω	to form, shape
μοσχοποιέω	μοσχοποιέω	to make a calf
μουσικός	μουσικός, -οῦ, ὁ	a musician
μυελός	μυελός, -ου, ὁ	marrow
μυέω	μυέομαι	to initiate (into the mysteries), learn the secret
μυκάομαι	μυκάομαι	to roar
μυκτηρίζω	μυκτηρίζω	to turn up the nose at, to mock
μυλικός	μυλικός, -ή, -όν	belonging to a mill
μύλινος	μύλινος, -η, -ον	belonging to a mill, a millstone
μύρα	Μύρα, -ων, τό	Myra
μυρίζω	μυρίζω	to anoint
μυωπάζω	μυωπάζω	to be short-sighted
μώλωψ	μώλωψ, -ωπος, ὁ	a bruise, wound
μῶμος	μῶμος, -ου, ὁ	a defect, blemish
μωρολογία	μωρολογία, -ας, ἡ	foolish or silly talk
ναγγαί	Ναγγαί, ὁ	Naggai
ναθάμ	Ναθάμ, ὁ	Nathan
ναιμάν	Ναιμάν, ὁ	Naaman
ναΐν	Ναΐν, ἡ	Nain
ναούμ	Ναούμ, ὁ	Nahum
νάρκισσος	Νάρκισσος, -ου, ὁ	Narcissus
ναύκληρος	ναύκληρος, -ου, ὁ	a ship captain
ναῦς	ναῦς	a ship
ναῦτης	ναύτης, -ου, ὁ	a sailor, seaman
ναχώρ	Ναχώρ, ὁ	Nahor
νεομηνία	νεομηνία, -ας, ἡ	the new moon, first of the month
νεόφυτος	νεόφυτος, -ον	newly converted
νέφος	νέφος, -ους, τό	a cloud
νεφρός	νεφρός, -οῦ, ὁ	a mind
νεωκόρος	νεωκόρος, -ου, ὁ	a temple keeper, guardian
νεωτερικός	νεωτερικός, -ή, -όν	youthful
νή	νή	by (a particle of affirmation employed in oaths)
νηπιάζω	νηπιάζω	to be (as) a child, babe
νηρεύς	Νηρεύς, -έως, ὁ	Nereus
νηρί	Νηρί, ὁ	Neri
νησίον	νησίον, -ου, τό	a small island
νίγερ	Νίγερ, ὁ	Niger
νικάνωρ	Νικάνωρ, -ορος, ὁ	Nicanor
νίκη	νίκη, -ης, ἡ	victory
νικόλαος	Νικόλαος, -ου, ὁ	Nicolaus
νικόπολις	Νικόπολις, -εως, ἡ	Nicopolis
νιπτήρ	νιπτήρ, -ῆρος, ὁ	a wash basin
νόθος	νόθος, -η, -ον	an illegitimate child
νόμισμα	νόμισμα, -τος, τό	a coin
νομοθεσία	νομοθεσία, -ας, ἡ	legislation, law
νομοθέτης	νομοθέτης, -ου, ὁ	a lawgiver
νοσέω	νοσέω	to be sick, have an unhealthy desire
νοσσία	νοσσία, -ᾶς, ἡ	a brood
νοσσίον	νοσσίον, -ου, τό	a young bird
νοσσός	νοσσός, -οῦ, ὁ	a young bird
νουνεχῶς	νουνεχῶς	wisely, thoughtfully
νύμφα	Νύμφα, -ας, ἡ	Nympha
νύσσω	νύσσω	to prick, pierce
νυχθήμερον	νυχθήμερον, -ου, τό	a day and a night
νῶτος	νῶτος, -ου, ὁ	the back
ξενοδοχέω	ξενοδοχέω	to show hospitality, entertain starngers
ξέστης	ξέστης, -ου, ὁ	a pitcher, jug
ὄγκος	ὄγκος, -ου, ὁ	bulk, encumbrance, impediment
ὁδεύω	ὁδεύω	to go, travel, journey
ὁδοιπορέω	ὁδοιπορέω	to travel, be on the way
ὄζω	ὄζω	to (emit a) smell, give off an odor
οἰκετεία	οἰκετεία, -ας, ἡ	a household (of slaves)
οἴκημα	οἴκημα, -τος, τό	a room, dwelling, prison cell
οἰκοδεσποτέω	οἰκοδεσποτέω	to rule a household, keep house
οἰκοδόμος	οἰκοδόμος, -ου, ὁ	a builder
οἰκονομέω	οἰκονομέω	to manage, administer, be a steward
οἰκουργός	οἰκουργός, -όν	busy at home, working at home
οἰνοφλυγία	οἰνοφλυγία, -ας, ἡ	drunkenness
ὀκνέω	ὀκνέω	to hesitate, delay
ὀκταήμερος	ὀκταήμερος, -ον	on the eighth day
ὀλιγοπιστία	ὀλιγοπιστία, -ας, ἡ	littleness of faith
ὀλιγόψυχος	ὀλιγόψυχος, -ον	faint-hearted, discouraged
ὀλιγωρέω	ὀλιγωρέω	to regard lightly
ὀλίγως	ὀλίγως	scarcely, barely
ὀλοθρευτής	ὀλοθρευτής, -οῦ, ὁ	a destroyer
ὀλοθρεύω	ὀλοθρεύω	to destroy, ruin
ὁλοκληρία	ὁλοκληρία, -ας, ἡ	wholeness, completeness, perfect health
ὀλολύζω	ὀλολύζω	to cry out, wail
ὁλοτελής	ὁλοτελής, -ές	in every way complete, perfect
ὀλυμπᾶς	Ὀλυμπᾶς, -ᾶ, ὁ	Olympas
ὄλυνθος	ὄλυνθος, -ου, ὁ	a late fig, an unripe fig
ὄμβρος	ὄμβρος, -ου, ὁ	a shower, thunderstorm
ὁμείρομαι	ὁμείρομαι	to long for, desire earnestly
ὁμιλία	ὁμιλία, -ας, ἡ	association, company
ὁμίχλη	ὁμίχλη, -ης, ἡ	a mist, fog
ὁμοίωσις	ὁμοίωσις, -εως, ἡ	a likeness, resemblance
ὁμολογουμένως	ὁμολογουμένως	undeniably, beyond question, by common confession
ὁμότεχνος	ὁμότεχνος, -ον	of the same trade
ὁμόφρων	ὁμόφρων, -ον	of one mind, harmonious
ὀνάριον	ὀνάριον, -ου, τό	a young donkey
ὄνειδος	ὄνειδος, -ους, τό	disgrace, reproach, insult
ὀνίναμαι	ὀνίναμαι	to benefit, profit
ὁπλίζω	ὁπλίζομαι	to equip, arm
ὀπτάνομαι	ὀπτάνομαι	to appear
ὀπτός	ὀπτός, -ή, -όν	roasted, baked, broiled
ὀπώρα	ὀπώρα, -ας, ἡ	fruit
ὁρατός	ὁρατός, -ή, -όν	visible
ὀργίλος	ὀργίλος, -η, -ον	inclined to anger, quick-tempered
ὄρεξις	ὄρεξις, -εως, ἡ	longing, desire
ὀρθοποδέω	ὀρθοποδέω	to walk straight, act rightly, be straightforward
ὀρθοτομέω	ὀρθοτομέω	to use or interpret correctly
ὀρθρίζω	ὀρθρίζω	to rise early in the morning
ὀρθρινός	ὀρθρινός, -ή, -όν	early in the morning
ὅρμημα	ὅρμημα, -τος, τό	a violent rush, violence
ὁροθεσία	ὁροθεσία, -ας, ἡ	a limit, fixed boundary
ὁσίως	ὁσίως	devoutly, piously
ὄσφρησις	ὄσφρησις, -εως, ἡ	the sense of smell, nose
οὐά	οὐά	aha!
οὐδαμῶς	οὐδαμῶς	by no means
οὐκοῦν	οὐκοῦν	therefore, so, then
οὐρβανός	Οὐρβανός, -οῦ, ὁ	Urbanus
οὐρίας	Οὐρίας, -ου, ὁ	Uriah
ὀφρύς	ὀφρύς, -ύος, ἡ	an eyebrow
ὀχλέω	ὀχλέομαι	to trouble, disturb, afflict
ὀχλοποιέω	ὀχλοποιέω	to form a mob
ὀχύρωμα	ὀχύρωμα, -τος, τό	a fortress
ὄψιμος	ὄψιμος, -ου, ὁ	late rain, spring rain
παγιδεύω	παγιδεύω	to ensnare, entrap
παθητός	παθητός, -ή, -όν	subject to suffering
παιδάριον	παιδάριον, -ου, τό	a child, young boy
παιδιόθεν	παιδιόθεν	from childhood
παίζω	παίζω	to play, amuse oneself
παλαιότης	παλαιότης, -ητος, ἡ	age, oldness
πάλη	πάλη, -ης, ἡ	a struggle, fight 
παμπληθεί	παμπληθεί	all together
πανδοχεῖον	πανδοχεῖον, -ου, τό	inn
πανδοχεύς	πανδοχεύς, -έως, ὁ	an innkeeper
πανήγυρις	πανήγυρις, -εως, ἡ	festal gathering
πανοικεί	πανοικεί	with the whole household
πανοῦργος	πανοῦργος, -ον	clever, crafty, sly
πανταχῇ	πανταχῇ	everywhere
πάντῃ	πάντῃ	in every way
παραβάλλω	παραβάλλω	arrive, cross over
παραβολεύομαι	παραβολεύομαι	to expose to danger, risk
παραδειγματίζω	παραδειγματίζω	to expose, make an example of, put to shame
παράδοξος	παράδοξος, -ον	strange, wonderful, remarkable
παραθαλάσσιος	παραθαλάσσιος, -α, -ον	by the sea
παραθεωρέω	παραθεωρέω	to overlook, neglect
παρακαθέζομαι	παρακαθέζομαι	to sit beside
παρακαλύπτω	παρακαλύπτομαι	to hide, conceal
παράλιος	παράλιος, -ου, ἡ	coastal
παραλλαγή	παραλλαγή, -ῆς, ἡ	a change, variation
παραμυθία	παραμυθία, -ας, ἡ	encouragement, comfort, consolation
παραμύθιον	παραμύθιον, -ου, τό	consolation, encouragement
παρανομέω	παρανομέω	to break the law, act contrary to the law
παρανομία	παρανομία, -ας, ἡ	lawlessness, evil-doing
παραπικραίνω	παραπικραίνω	to embitter, provoke
παραπίπτω	παραπίπτω	to fall away, commit apostasy
παραπλέω	παραπλέω	to sail past
παραπλήσιος	παραπλήσιος	coming near, resembling
παραπλησίως	παραπλησίως	similarly, likewise
παραρρέω	παραρρέω	to be washed away, drift away
παράσημος	παράσημος, -ον	peculiar, marked (with a figurehead)
παρατείνω	παρατείνω	to extend, prolong
παρατήρησις	παρατήρησις, -εως, ἡ	observation, observance
παρατυγχάνω	παρατυγχάνω	to happen to be present
παραυτίκα	παραυτίκα	immediately, for the moment
παραφρονέω	παραφρονέω	to be beside oneself, to be insane
παραφρονία	παραφρονία, -ας, ἡ	madness, insanity
παραχειμασία	παραχειμασία, -ας, ἡ	wintering
πάρδαλις	πάρδαλις, -εως, ἡ	a leopard
παρεδρεύω	παρεδρεύω	to serve, wait upon, attend regularly
παρεισάγω	παρεισάγω	to bring in, introduce secretly
παρείσακτος	παρείσακτος, -ον	secretly brought in, brought in under false pretenses
παρεισδύω	παρεισδύω	to creep in unnoticed
παρεισφέρω	παρεισφέρω	to apply, bring to bear
παρεμβάλλω	παρεμβάλλω	to set up, interpose
παρενοχλέω	παρενοχλέω	to trouble, annoy
πάρεσις	πάρεσις, -εως, ἡ	a passing over, overlooking
παρηγορία	παρηγορία, -ας, ἡ	comfort, encouragement
παρθενία	παρθενία, -ας, ἡ	virginity
πάρθος	Πάρθος	a Parthian
παρμενᾶς	Παρμενᾶς, -ᾶ	Parmenas
πάροδος	πάροδος, -ου, ἡ	passage, thoroughfare, passing
παροίχομαι	παροίχομαι	to be past, gone
παρομοιάζω	παρομοιάζω	to be like
παρόμοιος	παρόμοιος, -ον	like, similar
παροργισμός	παροργισμός, -οῦ, ὁ	irritation, anger
παροτρύνω	παροτρύνω	to arouse, incite
παροψίς	παροψίς, -ίδος, ἡ	a dish, plate
πάταρα	Πάταρα, -ων, τό	Patara
πάτμος	Πάτμος, -ου, ὁ	Patmos
πατρικός	πατρικός, -ή, -όν	ancestral, paternal
πατροβᾶς	Πατροβᾶς, -ᾶ, ὁ	Patrobas
πατρολῴας	πατρολῴας, -ου, ὁ	one who kills his father, a patricide
πατροπαράδοτος	πατροπαράδοτος, -ον	inherited, handed down from one's father
πεδινός	πεδινός, -ή, -όν	flat, level
πεζεύω	πεζεύω	to travel by land
πειράω	πειράομαι	to try, attempt
πεισμονή	πεισμονή, -ῆς, ἡ	persuasion
πελεκίζω	πελεκίζω	to behead (with an ax)
πένης	πένης, -ητος, ὁ	poor, needy
πενθερός	πενθερός, -οῦ, ὁ	father-in-law
πενιχρός	πενιχρός, -ά, -όν	poor, needy
πεντάκις	πεντάκις	five times
πεντεκαιδέκατος	πεντεκαιδέκατος, -η, -ον	fifteenth
περαιτέρω	περαιτέρω	further, beyond
περιάπτω	περιάπτω	to kindle
περιδέω	περιδέω	to bind, to wrap around
περιεργάζομαι	περιεργάζομαι	to be a busybody, meddler
περίθεσις	περίθεσις, -εως, ἡ	putting on, wearing
περικάθαρμα	περικάθαρμα, -τος, τό	dirt, refuse, rubbish
περικρατής	περικρατής, -ές	having power, having full command of
περικρύβω	περικρύβω	to hide, conceal (entirely)
περικυκλόω	περικυκλόω	to surround, encircle
περιμένω	περιμένω	to wait for
πέριξ	πέριξ	(all) around, in the vicinity
περιοικέω	περιοικέω	to be in the neighborhood of, dwell around
περίοικος	περίοικος, -ου, ὁ	living around, in the neighborhood
περιούσιος	περιούσιος, -ον	chosen, special
περιοχή	περιοχή, -ῆς, ἡ	a passage (of written text)
περιπείρω	περιπείρω	to pierce through, impale
περιρήγνυμι	περιρήγνυμι	to tear off all around
περισπάω	περισπάομαι	to be drawn away, distracted
περιτρέπω	περιτρέπω	to turn about, drive insane
περιτρέχω	περιτρέχω	to run around, run about
περιφρονέω	περιφρονέω	to disregard, look down on, despise
περίψημα	περίψημα, -τος, τό	dirt, dregs, scum
περπερεύομαι	περπερεύομαι	to boast, brag
περσίς	Περσίς, -ίδος, ἡ	Persis
πήγανον	πήγανον, -ου, τό	rue
πήγνυμι	πήγνυμι	to make firm, put together, build
πιέζω	πιέζω	to press
πιθανολογία	πιθανολογία, -ας, ἡ	persuasive speech
πίμπρημι	πίμπρημι	to burn with fever, swell up
πινακίδιον	πινακίδιον, -ου, τό	a little (wooden) tablet (for writing)
πιότης	πιότης, -ητος, ἡ	fatness
πισιδία	Πισιδία, -ας, ἡ	Pisidia
πισίδιος	Πισίδιος, -α, -ον	Pisidian
πιστόω	πιστόομαι	to be convinced, firmly believe
πλανήτης	πλανήτης, -ου, ὁ	a wanderer, roamer
πλάσμα	πλάσμα, -τος, τό	an image, figure, that which is molded
πλαστός	πλαστός, -ή, -όν	fabricated, false
πλέγμα	πλέγμα, -τος, τό	braided hair
πλήμμυρα	πλήμμυρα, -ης, ἡ	high water, flood
πλησμονή	πλησμονή, -ῆς, ἡ	indulgence, satisfaction, gratification
πλήσσω	πλήσσω	to strike, smite
ποδήρης	ποδήρης, -ους, ὁ	a long robe
ποίησις	ποίησις, -εως, ἡ	a making, a doing
πολίτευμα	πολίτευμα, -τος, τό	a commonwealth, state, citizenship
πολλαπλασίων	πολλαπλασίων, -ον	many times as much
πολυλογία	πολυλογία, -ας, ἡ	much speaking, wordiness
πολυμερῶς	πολυμερῶς	in various parts
πολυποίκιλος	πολυποίκιλος, -ον	many-sided, manifold
πολύσπλαγχνος	πολύσπλαγχνος, -ον	sympathetic, compassionate, merciful
πολυτρόπως	πολυτρόπως	in many ways
ποντικός	Ποντικός, -ή, -όν	from Pontus
πόρκιος	Πόρκιος, -ου, ὁ	Porcius
πορφυρόπωλις	πορφυρόπωλις, -ιδος, ἡ	a merchant dealing in purple cloth
ποταμοφόρητος	ποταμοφόρητος, -ον	swept away by a river
πότερον	πότερον	whether
ποτίολοι	Ποτίολοι, -ων, ὁ	Puteoli
πότος	πότος, -ου, ὁ	a drinking party, drunken orgy
πούδης	Πούδης, -εντος, ὁ	Pudens
πραγματεία	πραγματεία	activity, occupation
πραγματεύομαι	πραγματεύομαι	to do business, trade
πραϋπαθία	πραϋπαθία	gentleness
πρεσβῦτις	πρεσβῦτις, -ιδος, ἡ	an older woman, elderly lady
πρηνής	πρηνής, -ές	forward, prostrate, head first, headlong
πρίζω	πρίζω	to saw (in two)
προαιρέω	προαιρέομαι	to choose (for oneself), commit oneself to, prefer
προαιτιάομαι	προαιτιάομαι	to accuse beforehand
προακούω	προακούω	to hear beforehand
προαύλιον	προαύλιον, -ου, τό	a porch, forecourt, gateway
προβατικός	προβατικός, -ή, -όν	pertaining to sheep
προβιβάζω	προβιβάζω	to cause to come forward, prompt
προβλέπω	προβλέπομαι	to foresee , provide
προγίνομαι	προγίνομαι	to happen before, be done before
προδίδωμι	προδίδωμι	to give in advance, to give first
πρόδρομος	πρόδρομος, -ου, ὁ	going before, forerunner
προελπίζω	προελπίζω	to hope before, be the first to hope
προευαγγελίζομαι	προευαγγελίζομαι	to proclaim good news in advance
προέχω	προέχομαι	to excel, be first, be better than
προηγέομαι	προηγέομαι	to go before, consider better
προθεσμία	προθεσμία, -ας, ἡ	an appointed day, set time
προθύμως	προθύμως	willingly, eagerly, freely
πρόϊμος	πρόϊμος, -ου, ὁ	early rain, early crops
προκαλέω	προκαλέομαι	to provoke, challenge
προκαταρτίζω	προκαταρτίζω	to arrange beforehand
προκηρύσσω	προκηρύσσω	to proclaim publicly
πρόκριμα	πρόκριμα, -τος, τό	prejudice, bias
προκυρόω	προκυρόω	to ratify in advance
προμαρτύρομαι	προμαρτύρομαι	to bear witness to beforehand, predict
προμελετάω	προμελετάω	to practice beforehand, prepare
προμεριμνάω	προμεριμνάω	to be anxious beforehand
προπάσχω	προπάσχω	to suffer previously
προπάτωρ	προπάτωρ, -ορος, ὁ	a ancestor, forefather
προσάββατον	προσάββατον, -ου, τό	the day before the Sabbath
προσαγορεύω	προσαγορεύω	to call by name, designate
προσαιτέω	προσαιτέω	to beg
προσαναβαίνω	προσαναβαίνω	to go up, move up
προσαναλίσκω	προσαναλίσκω	to spend lavishly, spend beside
προσαπειλέω	προσαπειλέομαι	to threaten further
προσδαπανάω	προσδαπανάω	to spend in addition
προσδέομαι	προσδέομαι	to need
προσεάω	προσεάω	to permit to go farther
προσεργάζομαι	προσεργάζομαι	to make more
προσηλόω	προσηλόω	to nail (fast)
προσκαρτέρησις	προσκαρτέρησις, -εως, ἡ	perseverance, steadfastness
προσκεφάλαιον	προσκεφάλαιον, -ου, τό	a pillow, cushion
προσκληρόω	προσκληρόομαι	to be attached to, join
προσκλίνω	προσκλίνομαι	to attach oneself to, join 
πρόσκλισις	πρόσκλισις, -εως, ἡ	partiality, favoritism
προσκοπή	προσκοπή, -ῆς, ἡ	cause for offense, occasion of stumbling
προσκυνητής	προσκυνητής, -οῦ, ὁ	a worshiper
πρόσλημψις	πρόσλημψις, -εως, ἡ	acceptance
προσορμίζω	προσορμίζομαι	to come into harbor, come to anchor
προσοφείλω	προσοφείλω	to owe besides, still owe
πρόσπεινος	πρόσπεινος, -ον	hungry
προσπήγνυμι	προσπήγνυμι	to fasten to (a cross)
προσποιέω	προσποιέομαι	to act as though, pretend
προσπορεύομαι	προσπορεύομαι	to approach, come near
προστάτις	προστάτις, -ιδος, ἡ	a patron, benefactor, helper
προσφάγιον	προσφάγιον, -ου, τό	fish (to eat)
πρόσφατος	πρόσφατος, -ον	new, recent
προσφάτως	προσφάτως	recently
προσφιλής	προσφιλής, -ές	pleasing, agreeable, lovely, amiable
πρόσχυσις	πρόσχυσις, -εως, ἡ	a pouring, sprinkling
προσψαύω	προσψαύω	to touch
προσωπολημπτέω	προσωπολημπτέω	to show partiality
προσωπολήμπτης	προσωπολήμπτης, -ου, ὁ	one who shows partiality
προτείνω	προτείνω	to stretch out, spread out
προτρέπω	προτρέπω	to urge (on), encourage
προφθάνω	προφθάνω	to anticipate, come before
προχειροτονέω	προχειροτονέω	to choose beforehand
πρόχορος	Πρόχορος, -ου, ὁ	Prochorus
πρωτεύω	πρωτεύω	to be first, have first place
πρωτοστάτης	πρωτοστάτης, -ου, ὁ	a leader, ringleader
πρωτοτόκια	πρωτοτόκια, -ων, τό	a birthright
πρώτως	πρώτως	for the first time
πτέρνα	πτέρνα, -ης, ἡ	the heel
πτηνός	πτηνός	feathered, winged
πτόησις	πτόησις, -εως, ἡ	intimidation, fear, terror
πτολεμαΐς	Πτολεμαΐς, -ΐδος, ἡ	Ptolemais
πτύρω	πτύρομαι	to be frightened, terrified
πτύσμα	πτύσμα, -τος, τό	saliva, spittle
πτύσσω	πτύσσω	to fold up, roll up, close
πτωχεύω	πτωχεύω	to be (extremely) poor, destitute
πυγμή	πυγμή, -ῆς, ἡ	the fist, boxing
πύθων	πύθων, -ωνος, ὁ	a spirit of divination
πυκτεύω	πυκτεύω	to box
πύρινος	πύρινος, -η, -ον	fiery
πύρρος	Πύρρος, -ου, ὁ	Pyrrhus
ῥαγαύ	Ῥαγαύ, ὁ	Reu
